label,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid-0,centroid-1,intensity_min,intensity_mean,intensity_max
1,120.0,47.31370849898476,0.8720272054524053,0.8888888888888888,12.360774464742066,3.1666666666666665,10.383333333333333,0.6837922930717468,0.7608405947685242,0.929772675037384
2,313.0,84.76345596729061,0.9478991004230072,0.9427710843373494,19.963065333312567,4.376996805111821,39.50479233226837,0.533173143863678,0.8605857491493225,1.0
3,3137.0,245.53300858899104,0.8443707374501686,0.9087485515643106,63.199307368310656,19.260121134842205,95.54638189352885,0.5927431583404541,0.9357454776763916,1.0
4,201.0,68.48528137423858,0.9721450222538225,0.9901477832512315,15.99753570059363,13.895522388059701,141.0,0.6597671508789062,0.932905912399292,0.9995071887969971
5,2751.0,263.43860018001266,0.8702102554818537,0.8865613922010958,59.18346042237166,17.073064340239913,182.19411123227917,0.6016139984130859,0.9064878225326538,0.9996919631958008
6,142.0,59.89949493661167,0.9611799048687834,0.8022598870056498,13.446189622059965,2.704225352112676,239.76760563380282,0.6878580451011658,0.928255558013916,1.0
7,856.0,131.1543289325507,0.8499139723106329,0.9234088457389428,33.01352829210018,9.27803738317757,277.5093457943925,0.6199716329574585,0.9334471225738525,0.9986447095870972
8,1955.0,271.4325035256027,0.9466076566666296,0.735515425131678,49.89171584499017,11.788746803069055,375.7386189258312,0.6131953597068787,0.8927186131477356,1.0
9,55.0,40.071067811865476,0.9869739526314737,0.873015873015873,8.368283871884005,6.4363636363636365,242.47272727272727,0.6882277131080627,0.9402126669883728,1.0
10,229.0,100.72792206135784,0.9939178604430867,0.9196787148594378,17.075475271404667,9.152838427947598,331.3231441048035,0.6528059840202332,0.9340319037437439,0.9991375803947449
11,55.0,39.07106781186547,0.9862643446168718,0.873015873015873,8.368283871884005,9.581818181818182,240.2,0.6601983904838562,0.8715311288833618,1.0
12,93.0,90.82842712474618,0.999049984433547,0.808695652173913,10.881694613449236,12.78494623655914,335.10752688172045,0.8019466400146484,0.9631521701812744,0.9992607831954956
13,139.0,96.48528137423857,0.9979116224819935,0.86875,13.303394180365686,15.359712230215827,337.54676258992805,0.6340787410736084,0.938943088054657,0.9993223547935486
14,280.0,70.66295090390227,0.31956138824296054,0.8722741433021807,18.881394877652593,15.460714285714285,17.464285714285715,0.6838538646697998,0.8211410641670227,1.0
15,93.0,90.82842712474618,0.9990952306914002,0.8157894736842105,10.881694613449236,17.93548387096774,340.03225806451616,0.6337091326713562,0.876165509223938,0.9993839859962463
16,25.0,22.82842712474619,0.9868466359132604,0.8620689655172413,5.641895835477563,20.0,25.0,0.7088646292686462,0.889666736125946,1.0
17,93.0,90.82842712474618,0.9991014698892141,0.808695652173913,10.881694613449236,20.0,342.0,0.691739022731781,0.8866791129112244,0.9991991519927979
18,93.0,90.82842712474618,0.9990952306914002,0.8157894736842105,10.881694613449236,22.06451612903226,343.96774193548384,0.691739022731781,0.8933389186859131,0.9991991519927979
