Method,F1-Score,Precision,Recall,Silhouette_Score,Particle_Count,Runtime_ms
Watershed (Classical),,,,,549,114.77679199970225
SVM,0.9943132862312597,0.9924320605435156,0.9962016574585635,,28812,409.87295800005086
Random Forest,1.0,1.0,1.0,,28812,15.40791600018565
K-Means (k=3),,,,0.2900580627549453,28812,91.5989999998601
